#ID b_B435 b_errB435 b_V606 b_errV606 b_I814 b_errI814 b_Y105 b_errY105 b_J125 b_errJ125 b_JH140 b_errJH140 b_H160 b_errH160 b_Ks b_errKs b_CH1 b_errCH1 b_CH2 b_errCH2 ZBEST field ID_original
77 0.002989 0.003505 0.009742 0.003385 0.01188 0.002359 0.006214 0.001651 0.008162 0.002293 0.01293 0.002174 0.01068 0.002145 -0.05341047 0.08591045 0.2695799 0.1133866 -0.02795514 0.1208147 2.6095 4.0 21701.0
78 0.05674 0.006147 0.07767 0.004897 0.08154 0.003816 0.077 0.00346 0.07833 0.004298 0.1081 0.00413 0.1097 0.006437 0.1094203 0.08283188 0.1152545 0.09729871 0.1313152 0.09419891 2.6195 5.0 237.0
79 0.004814 0.002684 0.007021 0.002307 0.005228 0.001639 0.004262 0.001655 0.007872 0.002227 0.009135 0.002105 0.01841 0.002781 0.01725 0.01841 -0.2464 0.1447 -0.1205 0.1321 2.63245 2.0 1065.0
80 0.06222 0.01074 0.05755 0.009459 0.05846 0.006917 0.0742 0.004649 0.08791 0.00702 0.1026 0.006209 0.182 0.008167 0.2275879 0.1379976 -0.09766255 0.1259351 0.04879655 0.1193453 2.65 4.0 1191.0
81 0.007992 0.004694 0.01413 0.004383 0.01277 0.003234 0.01292 0.00284 0.01686 0.003861 0.02379 0.003431 0.03499 0.003823 0.02364 0.0332 0.0954 0.116 0.212 0.1144 2.6668999195098877 0.0 1206.0
82 0.006451 0.002771 0.007294 0.002672 0.008104 0.001947 0.005471 0.00183 0.003735 0.00217 0.008999 0.002105 0.007974 0.002034 0.05836 0.02222 -0.1342 0.08406 -0.1305 0.1083 2.705 3.0 20671.0
83 0.008698 0.003234 0.01021 0.002974 0.007811 0.002699 0.009732 0.00244 0.006696 0.003573 0.01085 0.00345 0.01802 0.003872 0.007763 0.03303 -0.241 0.1029 -0.2801 0.0913 2.7429 1.0 146.0
84 0.003669 0.003787 0.005791 0.003796 0.02445 0.002864 0.02618 0.002565 0.03138 0.003449 0.02793 0.003086 0.02832 0.003271 0.02166 0.03838 0.0005062 0.1229 -0.01008 0.1055 2.759999990463257 0.0 2517.0
85 -0.0003502 0.007707 0.01885 0.007134 0.0506 0.005121 0.09509 0.006092 0.1053 0.008021 0.1088 0.007649 0.1064 0.0122 0.05184 0.03535 0.05513 0.09795 -0.007351 0.08657 2.764 2.0 2424.0
86 0.004781 0.01353 0.01188 0.0121 0.009342 0.008578 0.02367 0.005749 0.01103 0.008623 0.03644 0.007635 0.05344 0.008508 -0.04840952 0.08957132 0.06631348 0.07465061 -0.3854873 0.0829926 2.778 4.0 2421.0
87 0.01494 0.005289 0.04696 0.005097 0.05025 0.003626 0.05448 0.004554 0.062 0.006591 0.09181 0.005863 0.1493 0.006683 0.1944 0.0321 0.2623 0.09402 0.2357 0.08426 2.8305 2.0 2412.0
88 0.004603 0.002058 0.008954 0.00198 0.009247 0.001825 0.005481 0.001648 0.005928 0.002392 0.01232 0.002318 0.01223 0.002023 -0.01781 0.02704 0.2729 0.1052 0.3456 0.08063 2.852 1.0 2130.0
89 -0.006587 0.008431 0.009058 0.005108 0.0154 0.00437 0.02752 0.003548 0.02374 0.003974 0.03587 0.005654 0.05131 0.004957 -0.1242094 0.1104983 0.1476246 0.06235359 0.03240095 0.0604106 2.8545 6.0 2073.0
90 0.01187 0.007621 0.02768 0.007129 0.03804 0.005285 0.04688 0.005331 0.05342 0.0075 0.04864 0.00648 0.05645 0.007841 0.1115 0.03701 -0.9325 0.453 -0.8854 0.3337 2.8613998889923096 0.0 1634.0
91 0.2539 0.009465 0.5012 0.007359 0.5686 0.005455 0.4701 0.01251 0.484 0.01323 0.5833 0.01444 0.6548 0.01518 0.9924508 0.07963816 1.005671 0.1097595 1.058823 0.09730125 3.08965 5.0 2120.0
92 0.03325 0.009395 0.03771 0.008186 0.05562 0.006089 0.05934 0.005722 0.04094 0.008392 0.07183 0.007915 0.09998 0.008218 0.001532424 0.08640224 0.1487535 0.05553883 0.5596028 0.07996976 3.104 4.0 1265.0
93 0.04211 0.008657 0.1767 0.00866 0.2722 0.006202 0.3278 0.007865 0.3985 0.009983 0.4556 0.009112 0.5649 0.01091 0.8976 0.03335 1.069 0.1112 1.37 0.1181 3.12535 3.0 2520.0
94 0.0008629 0.003378 -0.001216 0.00341 0.00482 0.002514 0.003854 0.001569 0.005794 0.002097 0.002485 0.001874 0.009833 0.00236 -0.004079 0.02794 0.04705 0.1383 -0.007176 0.1268 3.1494998931884766 0.0 2265.0
95 9.456e-05 0.003394 0.004416 0.003057 0.005869 0.002248 0.009197 0.001561 0.01025 0.001729 0.0161 0.002141 0.018 0.002361 0.3408506 0.1596636 -0.2962815 0.2905557 -0.7988114 0.2305816 3.1625 4.0 807.0
96 0.01746 0.003462 0.04198 0.00306 0.03752 0.002121 0.03053 0.002133 0.02946 0.002826 0.03325 0.002731 0.02825 0.00308 0.08633 0.02273 0.04838 0.1372 0.08657 0.133 3.28 2.0 1365.0
97 0.1416 0.009604 -0.4453 0.01013 -1.271 0.009847 0.8673 0.007204 11.92 0.009913 -0.7889 0.01161 3.008 0.008768 17.68518 5.124022 20.41978 5.395305 12.73807 3.065863 3.285 4.0 2327.0
98 0.0246 0.006236 0.02811 0.004749 0.02895 0.003764 0.02518 0.003281 0.03027 0.004133 0.03687 0.003995 0.0466 0.005797 0.0219244 0.0805335 0.5895095 0.1126144 0.5610492 0.09430856 3.415 5.0 1286.0
