#ID b_B435 b_errB435 b_V606 b_errV606 b_I814 b_errI814 b_Y105 b_errY105 b_J125 b_errJ125 b_JH140 b_errJH140 b_H160 b_errH160 b_Ks b_errKs b_CH1 b_errCH1 b_CH2 b_errCH2 ZBEST
67 0.00887 0.01183 0.01384 0.008366 0.01812 0.007387 0.01256 0.005081 0.03085 0.006623 0.0345 0.006607 0.04314 0.006589 0.07110287 0.1237118 0.01677283 0.10461 -0.02026805 0.09356752 2.25
68 0.04102 0.006868 0.05567 0.006419 0.06251 0.004612 0.05313 0.004041 0.08042 0.005055 0.1025 0.00468 0.1045 0.007344 0.08746 0.02917 0.03616 0.1276 0.1176 0.1542 2.258999
69 0.009093 0.003403 0.01133 0.002718 0.01014 0.002134 0.007409 0.001912 0.01081 0.002425 0.01275 0.002307 0.01308 0.002459 0.04960171 0.07215708 -0.1047159 0.1271149 -0.05764294 0.1211536 2.27055
70 0.01076 0.00611 0.006049 0.003906 0.007697 0.003412 0.01563 0.003083 0.01668 0.003455 0.03209 0.004971 0.03508 0.004214 0.1636883 0.1118866 0.2463814 0.09140133 0.1392625 0.07657944 2.296
71 0.04856 0.01008 0.03502 0.007186 0.04268 0.006208 0.01302 0.006369 0.02141 0.008137 0.025 0.00812 0.06308 0.009202 0.07421244 0.1303306 0.1014125 0.1983289 0.0925123 0.1652097 2.3315
72 0.01076 0.01174 0.02998 0.008071 0.02203 0.006988 0.01426 0.004665 0.02062 0.006036 0.02931 0.006015 0.02686 0.00534 0.06153832 0.1054527 -0.07372843 0.09111932 0.01969939 0.0843414 2.3385
73 0.164 0.009748 0.1305 0.005909 0.1324 0.004864 0.1074 0.004213 0.1127 0.005182 0.1573 0.006707 0.1816 0.006397 0.1624983 0.1166938 0.1508201 0.1492867 0.1636873 0.1228938 2.341499
74 0.02351 0.00344 0.02294 0.003104 0.02914 0.002237 0.01957 0.002371 0.02504 0.003172 0.03008 0.003077 0.04524 0.004195 -0.02937 0.02307 0.1941 0.1838 0.2785 0.2104 2.42
75 0.007556 0.005565 0.007502 0.005139 0.01146 0.003815 0.01225 0.003257 0.01286 0.004365 0.01642 0.003924 0.01828 0.003324 0.04461 0.02685 -0.02329 0.1695 0.04286 0.1348 2.476900100708008
76 0.008969 0.004895 0.01598 0.004222 0.03416 0.003111 0.04058 0.002677 0.05404 0.00336 0.07952 0.004206 0.07722 0.004277 0.1217 0.02347 0.257 0.07416 0.3437 0.09312 2.485
77 0.1972 0.006232 0.1882 0.005267 0.1726 0.003559 0.1836 0.005771 0.2208 0.00757 0.3474 0.007517 0.4819 0.007952 0.956 0.02686 0.943 0.1159 1.09 0.101 2.5015
78 0.07446 0.01143 0.1084 0.007449 0.1343 0.006375 0.1475 0.004236 0.1947 0.005539 0.2457 0.005395 0.3598 0.006625 0.4394151 0.1394025 0.2409924 0.08166853 0.3163058 0.06705857 2.5015
79 0.05648 0.01048 0.0722 0.006343 0.08811 0.005428 0.08357 0.00484 0.1106 0.006078 0.1474 0.007676 0.1883 0.009189 0.2149248 0.1366135 0.2952072 0.09213899 0.1456456 0.06667366 2.534
80 0.004137 0.004924 0.01153 0.004614 0.02888 0.003482 0.03655 0.003048 0.03447 0.004038 0.03449 0.003661 0.03358 0.003668 0.07069 0.03785 0.01364 0.1176 0.06612 0.1109 2.6322999000549316
