#ID b_B435 b_errB435 b_V606 b_errV606 b_I814 b_errI814 b_Y105 b_errY105 b_J125 b_errJ125 b_JH140 b_errJH140 b_H160 b_errH160 b_Ks b_errKs b_CH1 b_errCH1 b_CH2 b_errCH2 ZBEST field ID_original UID
87 0.147 0.007881 0.161 0.007269 0.1333 0.005167 0.1606 0.004603 0.2028 0.006295 0.2063 0.005674 0.2102 0.006884 0.1945 0.04945 -67.0 -67.0 0.3834 0.1651 1.8882999420166016 0.0 926.0 0_926
88 0.009211 0.004782 0.004282 0.004719 0.007812 0.003457 0.007987 0.003019 0.0162 0.00407 0.02632 0.003648 0.05007 0.004009 0.1041 0.04091 -0.0097 0.1182 -0.078 0.1208 2.6549999713897705 0.0 934.0 0_934
89 0.09902 0.01042 0.3014 0.009596 0.3418 0.006957 0.3429 0.005903 0.3669 0.008044 0.4644 0.007257 0.5816 0.00759 0.7504 0.04926 -67.0 -67.0 -67.0 -67.0 2.934999942779541 0.0 938.0 0_938
90 0.02575 0.008278 0.04444 0.007843 0.03376 0.005728 0.08413 0.004912 0.09604 0.006771 0.1061 0.006034 0.1094 0.01027 0.113 0.04946 0.051 0.4217 0.2547 0.3513 1.5199999809265137 0.0 956.0 0_956
91 0.0116 0.01301 0.01606 0.01288 0.05272 0.00934 0.07665 0.008305 0.1394 0.01124 0.1826 0.01007 0.2343 0.01188 0.4415 0.06184 0.9424 0.3593 0.9315 0.2891 2.2458999156951904 0.0 962.0 0_962
92 0.04496 0.005549 0.05879 0.005241 0.05728 0.003803 0.07874 0.003251 0.1277 0.004464 0.1457 0.004032 0.1482 0.004332 0.238 0.03622 0.1803 0.1222 0.1623 0.1238 2.005000114440918 0.0 965.0 0_965
93 0.002077 0.004386 0.01453 0.004208 0.0107 0.003072 0.014 0.002654 0.01488 0.00358 0.03 0.003223 0.04037 0.00365 0.03878 0.03755 -67.0 -67.0 -67.0 -67.0 2.700000047683716 0.0 968.0 0_968
94 0.05548 0.008661 0.08268 0.007929 0.1094 0.005833 0.2151 0.005 0.2967 0.006816 0.3282 0.006106 0.3105 0.006612 0.4297 0.04416 0.4774 0.1145 0.5789 0.1103 1.6384999752044678 0.0 972.0 0_972
95 0.2567 0.01648 0.3748 0.01582 0.7461 0.01145 1.978 0.01009 2.371 0.01406 2.688 0.01274 2.876 0.01096 3.968 0.05023 5.386 0.1966 5.071 0.169 1.3049999475479126 0.0 978.0 0_978
96 0.06279 0.01015 0.2824 0.01 0.3708 0.007285 0.3633 0.006169 0.3661 0.008478 0.3663 0.007692 0.3851 0.008692 0.8245 0.0584 0.5761 0.55 0.5302 0.3263 3.542099952697754 0.0 980.0 0_980
97 0.1549 0.009337 0.2078 0.008906 0.2223 0.006338 0.3051 0.005556 0.3535 0.007632 0.4256 0.006899 0.4128 0.008402 0.3195 0.05114 -67.0 -67.0 -67.0 -67.0 1.2039999961853027 0.0 991.0 0_991
98 0.06404 0.008617 0.0547 0.00772 0.08243 0.005709 0.1944 0.004847 0.2077 0.007082 0.2291 0.00601 0.222 0.007414 0.1218 0.05015 0.4825 0.2444 0.4146 0.2078 1.4665000438690186 0.0 993.0 0_993
99 0.03332 0.0124 0.08107 0.01154 0.101 0.008495 0.2107 0.005426 0.2251 0.007429 0.23 0.006711 0.2449 0.008496 0.2107 0.05546 -67.0 -67.0 -67.0 -67.0 1.3765000104904175 0.0 994.0 0_994
100 0.0876 0.007484 0.1712 0.006601 0.1951 0.004871 0.2119 0.004095 0.2626 0.005645 0.3322 0.005136 0.3521 0.005038 0.481 0.0359 0.373 0.2113 0.4484 0.1772 2.4930999279022217 0.0 1015.0 0_1015
101 0.05916 0.006561 0.06543 0.00623 0.05909 0.004508 0.07139 0.003995 0.1199 0.00543 0.1357 0.004884 0.1608 0.005349 0.187 0.04062 0.1165 0.1086 0.09615 0.1082 2.109299898147583 0.0 1018.0 0_1018
102 -0.0008321 0.004811 0.0336 0.004862 0.1001 0.003581 0.1056 0.003079 0.1126 0.004219 0.1182 0.003796 0.1197 0.004123 0.19 0.03583 -67.0 -67.0 0.3965 0.1512 4.355000019073486 0.0 1031.0 0_1031
103 0.05667 0.007863 0.2794 0.007568 0.3383 0.005489 0.3238 0.004563 0.2998 0.006286 0.3059 0.005645 0.3035 0.006156 0.7233 0.04533 0.5084 0.1772 0.7428 0.1562 3.557300090789795 0.0 1068.0 0_1068
104 0.1807 0.008565 0.199 0.00705 0.185 0.005113 0.2278 0.004438 0.3026 0.006077 0.3468 0.005468 0.3466 0.005643 0.371 0.03767 0.4656 0.1874 0.5035 0.1732 2.0009000301361084 0.0 1069.0 0_1069
