#ID b_B435 b_errB435 b_V606 b_errV606 b_I814 b_errI814 b_Y105 b_errY105 b_J125 b_errJ125 b_JH140 b_errJH140 b_H160 b_errH160 b_Ks b_errKs b_CH1 b_errCH1 b_CH2 b_errCH2 ZBEST field ID_original
85 0.001812 0.002727 0.02229 0.00267 0.03313 0.002409 0.03249 0.002093 0.03086 0.003062 0.031 0.002957 0.02675 0.003024 0.05219 0.03025 -0.01524 0.1175 0.09141 0.09414 3.9075 1.0 1661.0
86 0.0 -99.0 0.0 -99.0 0.0 -99.0 0.0 -99.0 0.0 -99.0 0.0 -99.0 0.0 -99.0 -0.0715 0.03028 -2.228 5.954 -7.513 7.226 4.02 1.0 23267.0
87 0.00088 0.003027 0.01704 0.002859 0.03288 0.002595 0.03471 0.002316 0.02973 0.003387 0.03386 0.003267 0.03976 0.003741 0.05123 0.03386 0.212 0.1424 0.2397 0.1259 4.1315 1.0 324.0
88 0.0002689 0.00207 0.004074 0.001969 0.006537 0.001849 0.008082 0.001653 0.006619 0.002414 0.006129 0.002331 0.004908 0.002033 0.02473 0.02835 0.2733 0.1534 0.1385 0.1217 4.1465 1.0 22638.0
89 0.0008084 0.001646 0.00412 0.001547 0.009156 0.001451 0.008862 0.001221 0.009313 0.001792 0.0109 0.001731 0.009389 0.001767 0.0297 0.03168 0.1844 0.1525 0.1502 0.1359 4.155 1.0 368.0
90 0.01314 0.00326 0.02627 0.002989 0.03586 0.002675 0.0428 0.003989 0.0286 0.005562 0.03844 0.005455 0.05922 0.005311 0.1148 0.03943 1.404 0.1394 1.0 0.09896 4.157 1.0 2283.0
91 0.00159 0.002573 0.009104 0.002465 0.01359 0.002294 0.0179 0.002035 0.01723 0.002937 0.01373 0.002854 0.01955 0.003083 0.05977 0.03599 0.3137 0.1126 0.2923 0.09589 4.167 1.0 287.0
92 0.0 -99.0 0.0 -99.0 0.0 -99.0 0.0 -99.0 0.0 -99.0 0.0 -99.0 -0.08161 0.01677 0.07573 0.06034 0.7978 0.1836 0.7061 0.1411 4.20425 1.0 2166.0
93 -0.001381 0.004279 0.0119 0.004046 0.03026 0.00369 0.02623 0.00323 0.02737 0.004722 0.02952 0.004564 0.03408 0.005188 -0.00148 0.03776 0.08548 0.164 0.02579 0.1284 4.259 1.0 1421.0
94 -0.0008303 0.002614 0.009995 0.002475 0.01991 0.002253 0.02054 0.002014 0.01836 0.002903 0.0149 0.002823 0.01751 0.002618 0.01662 0.02914 0.3564 0.1173 0.3553 0.09835 4.268999 1.0 2051.0
95 -0.002102 0.002748 0.01142 0.002581 0.02184 0.002329 0.02622 0.002047 0.02709 0.003 0.02545 0.002884 0.02601 0.003048 0.04269 0.03235 0.4571 0.139 0.3939 0.1144 4.268999 1.0 2113.0
96 -0.004 0.003753 0.04025 0.003668 0.1158 0.003493 0.1278 0.003004 0.1283 0.004404 0.1297 0.004265 0.1289 0.004758 0.2963 0.03684 0.3062 0.1376 0.2231 0.1057 4.371051 1.0 1738.0
97 -0.002245 0.003872 0.005337 0.003222 0.01589 0.00307 0.01213 0.001872 0.008144 0.002713 0.009512 0.002645 0.0131 0.003289 0.02696 0.03065 -0.06829 0.1359 0.02568 0.1066 4.46 1.0 1188.0
98 -0.001249 0.002359 0.003961 0.002231 0.01026 0.002091 0.007598 0.001793 0.008293 0.002638 0.004047 0.002537 0.006175 0.002188 0.02463 0.03183 0.0454 0.1046 0.03801 0.08789 4.49095 1.0 22510.0
99 0.001296 0.002846 0.0009756 0.002601 0.008911 0.002364 0.0092 0.002065 0.006517 0.003034 0.0127 0.002948 0.01031 0.002545 0.03037 0.0318 -0.06308 0.1343 -0.01801 0.105 4.5685 1.0 20586.0
100 -0.001736 0.003722 0.002646 0.003561 0.008688 0.003262 0.009452 0.002922 0.01587 0.004294 0.005017 0.004152 0.01205 0.003549 -0.009994 0.0313 -0.003477 0.1144 0.01959 0.09492 4.571 1.0 22239.0
101 -0.001176 0.002714 0.003353 0.002517 0.01579 0.002319 0.01053 0.002036 0.007605 0.002983 0.01531 0.002873 0.01104 0.002479 0.03212 0.03375 0.08242 0.1088 0.09307 0.0973 4.625 1.0 21066.0
102 0.0006999 0.002388 0.001432 0.002219 0.009015 0.001985 0.006588 0.001738 0.006281 0.002553 0.008047 0.002453 0.00773 0.00214 0.0342 0.03235 -0.04784 0.09835 -0.08397 0.08875 4.65805 1.0 21482.0
103 -0.01336 0.01571 0.01966 0.01455 0.08156 0.0156 0.1227 0.009811 0.1573 0.01446 0.152 0.01394 0.1948 0.01015 0.2144 0.05134 0.5361 0.2292 0.5162 0.179 4.677 1.0 408.0
104 0.002928 0.009066 0.00807 0.0087 0.06838 0.008087 0.07014 0.007343 0.07551 0.01076 0.07229 0.01038 0.0874 0.008258 0.1178 0.03727 -0.2343 0.4912 -0.3141 0.359 4.762098 1.0 2085.0
105 -0.004476 0.003858 0.004254 0.003591 0.02252 0.003389 0.02276 0.003027 0.01719 0.004394 0.01894 0.00426 0.01539 0.00371 0.07889 0.03523 0.06878 0.2065 0.03262 0.1594 4.765 1.0 22767.0
106 -0.001262 0.002224 0.001191 0.002035 0.02231 0.001895 0.02483 0.001666 0.01819 0.002428 0.02076 0.00234 0.02177 0.002905 0.01116 0.02212 0.4283 0.1036 0.401 0.08812 4.8295 1.0 2120.0
107 -0.00721 0.01114 -0.0009621 0.01024 0.007379 0.009265 0.02586 0.01182 0.01279 0.01752 0.01686 0.01691 0.02694 0.01464 -0.004504 0.004786 -0.2438 0.1084 -0.1518 0.08529 5.15 1.0 23232.0
108 0.0009853 0.006284 0.006714 0.005745 0.02442 0.005277 0.04152 0.004792 0.05366 0.007008 0.05462 0.006842 0.05211 0.007222 0.05895 0.03684 0.1848 0.385 0.3002 0.2934 5.20605 1.0 783.0
109 -0.001832 0.002207 0.0007285 0.002008 0.005396 0.0018 0.00681 0.001575 0.005915 0.002304 0.002277 0.002218 0.006832 0.001942 -0.02257 0.02597 0.02809 0.158 -0.0234 0.1354 5.214501 1.0 20990.0
110 0.001842 0.002288 0.001626 0.002073 0.009038 0.001781 0.01227 0.001602 0.008889 0.002353 0.009775 0.002257 0.009901 0.001954 0.02048 0.0147 -0.02363 0.1036 0.0006536 0.08811 5.2285 1.0 21555.0
111 0.004664 0.004877 0.002542 0.003874 0.004567 0.003733 0.008826 0.002321 0.01121 0.003428 0.009319 0.003292 0.01253 0.002845 -0.0144 0.03641 0.1181 0.1158 0.1446 0.09892 5.240699 1.0 21839.0
112 0.01563 0.01013 0.008493 0.009177 0.05405 0.008083 0.06253 0.007208 0.04115 0.01051 0.06025 0.01023 0.07347 0.01164 -0.02921 0.03278 -0.04918 0.2058 -0.07106 0.2049 5.243899 1.0 939.0
113 0.009946 0.01075 0.0281 0.01002 0.1481 0.009437 0.2421 0.01806 0.0 -99.0 0.4394 0.02885 0.5263 0.5352 0.6602 0.04324 4.99 0.1794 3.543 0.1219 5.251 1.0 38.0
114 0.0005395 0.00122 0.003582 0.001115 0.01824 0.001054 0.02518 0.001348 0.02041 0.00199 0.01621 0.001875 0.01761 0.01004 0.07691 0.03419 0.02909 0.1748 -0.09259 0.1476 5.3089 1.0 161.0
115 0.002442 0.003761 0.0004413 0.003402 0.009207 0.003165 0.01847 0.004071 0.01698 0.005857 0.01393 0.005402 0.01972 0.004744 -0.005705 0.03108 0.2306 0.09993 0.18 0.08927 5.311451 1.0 571.0
116 -0.001187 0.003666 0.004014 0.003437 0.01062 0.003143 0.01794 0.00272 0.02637 0.004011 0.01697 0.00385 0.02428 0.005232 -0.0508 0.03487 0.06404 0.1048 0.1442 0.08771 5.311451 1.0 1556.0
