Wavelength(um),Flux(Jy),Error(Jy),BG(Jy),Order,Module
2.97743,0.00518234,0,0,0,-2
2.97821,0.00449807,0,0,0,-2
2.97827,0.00446789,0,0,0,-2
2.97904,0.00465732,0,0,0,-2
2.9791,0.00467214,0,0,0,-2
2.97988,0.00469074,0,0,0,-2
2.97994,0.00468465,0,0,0,-2
2.98071,0.00447563,0,0,0,-2
2.98077,0.00447114,0,0,0,-2
2.98161,0.00487406,0,0,0,-2
2.98238,0.00450589,0,0,0,-2
2.98244,0.00448072,0,0,0,-2
2.98328,0.00453121,0,0,0,-2
2.98405,2.87E-05,0,0,0,-2
2.98411,-0.000265689,0,0,0,-2
2.98489,-0.000400329,0,0,0,-2
2.98495,-0.000306281,0,0,0,-2
2.98578,0.0037336,0,0,0,-2
2.98656,0.00442771,0,0,0,-2
2.98662,0.00443905,0,0,0,-2
2.98746,0.00460729,0,0,0,-2
2.98823,0.00482836,0,0,0,-2
2.98829,0.0048741,0,0,0,-2
2.98907,0.00634407,0,0,0,-2
2.98913,0.00643984,0,0,0,-2
2.98997,0.00651133,0,0,0,-2
2.99074,0.0058151,0,0,0,-2
2.9908,0.00576023,0,0,0,-2
2.99158,0.00531931,0,0,0,-2
2.99164,0.00530685,0,0,0,-2
2.99242,0.00578348,0,0,0,-2
2.99248,0.00580058,0,0,0,-2
2.99326,0.00535732,0,0,0,-2
2.99332,0.00534254,0,0,0,-2
2.9941,0.00577884,0,0,0,-2
2.99416,0.00580837,0,0,0,-2
2.99493,0.00588154,0,0,0,-2
2.99499,0.00585885,0,0,0,-2
2.99577,0.00518238,0,0,0,-2
2.99583,0.00514055,0,0,0,-2
2.99661,0.00481829,0,0,0,-2
2.99667,0.00480973,0,0,0,-2
2.99745,0.00488174,0,0,0,-2
2.99751,0.00485947,0,0,0,-2
2.99829,0.00425009,0,0,0,-2
2.99835,0.00425818,0,0,0,-2
2.99913,0.00501143,0,0,0,-2
2.99919,0.00504907,0,0,0,-2
2.99997,0.00536306,0,0,0,-2
3.00003,0.00531926,0,0,0,-2
3.00081,0.00416744,0,0,0,-2
3.00165,0.00457218,0,0,0,-2
3.00249,0.00509863,0,0,0,-2
3.00333,0.00512225,0,0,0,-2
3.00417,0.00493331,0,0,0,-2
3.00495,0.00590805,0,0,0,-2
3.00501,0.00597478,0,0,0,-2
3.0058,0.00608633,0,0,0,-2
3.00586,0.00610785,0,0,0,-2
3.00664,0.00698531,0,0,0,-2
3.0067,0.00702431,0,0,0,-2
3.00748,0.00663809,0,0,0,-2
3.00754,0.00660536,0,0,0,-2
3.00832,0.00614499,0,0,0,-2
3.00838,0.00610306,0,0,0,-2
3.00916,0.00548634,0,0,0,-2
3.00922,0.00546808,0,0,0,-2
3.01001,0.00545168,0,0,0,-2
3.01007,0.00544313,0,0,0,-2
3.01085,0.0052853,0,0,0,-2
3.01169,0.00526055,0,0,0,-2
3.01254,0.00553356,0,0,0,-2
3.01332,0.00545884,0,0,0,-2
3.01338,0.00543947,0,0,0,-2
3.01416,0.00500822,0,0,0,-2
3.01422,0.00500238,0,0,0,-2
3.01501,0.0054415,0,0,0,-2
3.01507,0.00544675,0,0,0,-2
3.01585,0.00514437,0,0,0,-2
3.01591,0.00513179,0,0,0,-2
3.0167,0.00505593,0,0,0,-2
3.01676,0.00505312,0,0,0,-2
3.01754,0.00501688,0,0,0,-2
3.01839,0.00308899,0,0,0,-2
3.01917,0.00283906,0,0,0,-2
3.01923,0.00286194,0,0,0,-2
3.02002,0.00391169,0,0,0,-2
3.02008,0.00397107,0,0,0,-2
3.02086,0.00416944,0,0,0,-2
3.02092,0.00414987,0,0,0,-2
3.02171,0.00350746,0,0,0,-2
3.02255,0.00343396,0,0,0,-2
3.0234,0.00408593,0,0,0,-2
3.02419,0.00542405,0,0,0,-2
3.02425,0.00550322,0,0,0,-2
3.02503,0.00565004,0,0,0,-2
3.02509,0.00563017,0,0,0,-2
3.02588,0.0050692,0,0,0,-2
3.02594,0.00506164,0,0,0,-2
3.02673,0.00526214,0,0,0,-2
3.02758,0.00534606,0,0,0,-2
3.02836,0.00440113,0,0,0,-2
3.02842,0.00435036,0,0,0,-2
3.02921,0.00486952,0,0,0,-2
3.02927,0.00487224,0,0,0,-2
3.03006,0.00383596,0,0,0,-2
3.03012,0.00378553,0,0,0,-2
3.03091,0.00339011,0,0,0,-2
3.03176,0.00355394,0,0,0,-2
3.03254,0.00451818,0,0,0,-2
3.0326,0.00458234,0,0,0,-2
3.03339,0.00479112,0,0,0,-2
3.03345,0.00477888,0,0,0,-2
3.03424,0.00432082,0,0,0,-2
3.0343,0.00430689,0,0,0,-2
3.03509,0.00428788,0,0,0,-2
3.03594,0.0042239,0,0,0,-2
3.03673,0.005414,0,0,0,-2
3.03679,0.00550819,0,0,0,-2
3.03758,0.00638827,0,0,0,-2
3.03764,0.00631193,0,0,0,-2
3.03843,0.00379501,0,0,0,-2
3.03928,0.00455083,0,0,0,-2
3.04007,0.0051387,0,0,0,-2
3.04014,0.00517669,0,0,0,-2
3.04093,0.00553257,0,0,0,-2
3.04099,0.00550109,0,0,0,-2
3.04178,0.00452438,0,0,0,-2
3.04257,0.00406937,0,0,0,-2
3.04263,0.00406437,0,0,0,-2
3.04342,0.00490313,0,0,0,-2
3.04348,0.00494677,0,0,0,-2
3.04427,0.00475157,0,0,0,-2
3.04433,0.00473481,0,0,0,-2
3.04513,0.00449706,0,0,0,-2
3.04592,0.00404467,0,0,0,-2
3.04598,0.00401519,0,0,0,-2
3.04677,0.00399621,0,0,0,-2
