Wavelength(um),Flux(Jy),Error(Jy),BG(Jy),Order,Module
1.58005,0.0209169,0,0,0,-2
1.58008,0.0209638,0,0,0,-2
1.58034,0.0213141,0,0,0,-2
1.58037,0.0213352,0,0,0,-2
1.58062,0.0212703,0,0,0,-2
1.58065,0.0212502,0,0,0,-2
1.58091,0.0210074,0,0,0,-2
1.58094,0.0209919,0,0,0,-2
1.58119,0.0210572,0,0,0,-2
1.58122,0.0210564,0,0,0,-2
1.58147,0.0209838,0,0,0,-2
1.58151,0.02096,0,0,0,-2
1.58176,0.0205881,0,0,0,-2
1.58179,0.020566,0,0,0,-2
1.58204,0.0205775,0,0,0,-2
1.58208,0.0205846,0,0,0,-2
1.58233,0.0206741,0,0,0,-2
1.58236,0.0206713,0,0,0,-2
1.58261,0.0205388,0,0,0,-2
1.58265,0.0205097,0,0,0,-2
1.5829,0.0202026,0,0,0,-2
1.58293,0.0201663,0,0,0,-2
1.58318,0.0198914,0,0,0,-2
1.58322,0.0198628,0,0,0,-2
1.58347,0.0196718,0,0,0,-2
1.5835,0.019691,0,0,0,-2
1.58375,0.0200341,0,0,0,-2
1.58379,0.0201269,0,0,0,-2
1.58404,0.0211669,0,0,0,-2
1.58407,0.0212422,0,0,0,-2
1.58432,0.0216107,0,0,0,-2
1.58436,0.0216351,0,0,0,-2
1.58461,0.0217004,0,0,0,-2
1.58464,0.0217503,0,0,0,-2
1.58489,0.0223213,0,0,0,-2
1.58518,0.0227917,0,0,0,-2
1.58547,0.0228684,0,0,0,-2
1.58572,0.0229374,0,0,0,-2
1.58575,0.0229348,0,0,0,-2
1.58604,0.0225803,0,0,0,-2
1.58629,0.0221393,0,0,0,-2
1.58632,0.0220907,0,0,0,-2
1.58661,0.021912,0,0,0,-2
1.58686,0.0221794,0,0,0,-2
1.58689,0.022231,0,0,0,-2
1.58715,0.0227846,0,0,0,-2
1.58718,0.022842,0,0,0,-2
1.58743,0.0231138,0,0,0,-2
1.58746,0.0231194,0,0,0,-2
1.58772,0.0227161,0,0,0,-2
1.58775,0.0226287,0,0,0,-2
1.588,0.0217341,0,0,0,-2
1.58804,0.0216163,0,0,0,-2
1.58829,0.0206071,0,0,0,-2
1.58832,0.0204623,0,0,0,-2
1.58858,0.0191644,0,0,0,-2
1.58861,0.0190471,0,0,0,-2
1.58886,0.0183458,0,0,0,-2
1.58889,0.0183089,0,0,0,-2
1.58915,0.0183634,0,0,0,-2
1.58918,0.0184195,0,0,0,-2
1.58943,0.0191012,0,0,0,-2
1.58947,0.0192066,0,0,0,-2
1.58972,0.0201786,0,0,0,-2
1.59001,0.0215324,0,0,0,-2
1.59029,0.0225531,0,0,0,-2
1.59058,0.0228921,0,0,0,-2
1.59086,0.0221698,0,0,0,-2
1.59112,0.0214631,0,0,0,-2
1.59115,0.0214198,0,0,0,-2
1.59141,0.0221612,0,0,0,-2
1.59144,0.0222901,0,0,0,-2
1.59169,0.0233219,0,0,0,-2
1.59172,0.023412,0,0,0,-2
1.59198,0.0234413,0,0,0,-2
1.59201,0.0234335,0,0,0,-2
1.59227,0.0232819,0,0,0,-2
1.5923,0.0232722,0,0,0,-2
1.59255,0.0233057,0,0,0,-2
1.59258,0.0233308,0,0,0,-2
1.59284,0.0236711,0,0,0,-2
1.59287,0.0237411,0,0,0,-2
1.59313,0.0244203,0,0,0,-2
1.59316,0.0245028,0,0,0,-2
1.59341,0.0251434,0,0,0,-2
1.5937,0.0248131,0,0,0,-2
1.59373,0.0247237,0,0,0,-2
1.59399,0.023808,0,0,0,-2
1.59424,0.0237424,0,0,0,-2
1.59427,0.0237842,0,0,0,-2
1.59456,0.0247621,0,0,0,-2
1.59482,0.0256796,0,0,0,-2
1.59485,0.025743,0,0,0,-2
1.5951,0.0256069,0,0,0,-2
1.59513,0.0255481,0,0,0,-2
1.59539,0.0245495,0,0,0,-2
1.59542,0.0244122,0,0,0,-2
1.59568,0.0232184,0,0,0,-2
1.59571,0.0231027,0,0,0,-2
1.59596,0.0223461,0,0,0,-2
1.596,0.0223379,0,0,0,-2
1.59625,0.0227882,0,0,0,-2
1.59654,0.0232297,0,0,0,-2
1.59657,0.023267,0,0,0,-2
1.59683,0.0235158,0,0,0,-2
1.59708,0.0238985,0,0,0,-2
1.59711,0.0239284,0,0,0,-2
1.59737,0.0237674,0,0,0,-2
1.5974,0.0236828,0,0,0,-2
1.59766,0.0216284,0,0,0,-2
1.59769,0.0213539,0,0,0,-2
1.59794,0.0194948,0,0,0,-2
1.59798,0.019369,0,0,0,-2
1.59823,0.0198181,0,0,0,-2
1.59826,0.0199341,0,0,0,-2
1.59852,0.0212727,0,0,0,-2
1.59855,0.0215661,0,0,0,-2
1.59881,0.0244396,0,0,0,-2
1.59884,0.0245847,0,0,0,-2
1.59909,0.0247093,0,0,0,-2
1.59938,0.0238421,0,0,0,-2
1.59964,0.0236231,0,0,0,-2
1.59967,0.0236061,0,0,0,-2
1.59996,0.0233345,0,0,0,-2
1.60021,0.023173,0,0,0,-2
1.60025,0.0231375,0,0,0,-2
1.6005,0.0226294,0,0,0,-2
1.60053,0.0225949,0,0,0,-2
1.60079,0.0225025,0,0,0,-2
1.60082,0.0225347,0,0,0,-2
1.60108,0.0231031,0,0,0,-2
1.60111,0.0231701,0,0,0,-2
1.60137,0.0236905,0,0,0,-2
1.6014,0.0237575,0,0,0,-2
1.60166,0.0242973,0,0,0,-2
1.60191,0.0246674,0,0,0,-2
1.60194,0.0246959,0,0,0,-2
1.6022,0.024693,0,0,0,-2
1.60223,0.0246788,0,0,0,-2
1.60249,0.0243992,0,0,0,-2
1.60252,0.0243994,0,0,0,-2
1.60278,0.0246843,0,0,0,-2
1.60281,0.0247267,0,0,0,-2
1.60307,0.0251321,0,0,0,-2
1.6031,0.0251491,0,0,0,-2
1.60335,0.025086,0,0,0,-2
1.60364,0.023617,0,0,0,-2
1.6039,0.0232576,0,0,0,-2
1.60393,0.0232746,0,0,0,-2
1.60419,0.0242576,0,0,0,-2
1.60422,0.0244007,0,0,0,-2
1.60448,0.0254137,0,0,0,-2
1.60451,0.0255057,0,0,0,-2
1.60477,0.0258998,0,0,0,-2
1.6048,0.0259113,0,0,0,-2
1.60505,0.0256191,0,0,0,-2
1.60509,0.0255958,0,0,0,-2
1.60534,0.0254886,0,0,0,-2
1.60563,0.0256352,0,0,0,-2
1.60589,0.0248553,0,0,0,-2
1.60592,0.0247302,0,0,0,-2
1.60618,0.0236499,0,0,0,-2
1.60621,0.0235515,0,0,0,-2
1.60647,0.0238256,0,0,0,-2
1.6065,0.023884,0,0,0,-2
1.60676,0.0242172,0,0,0,-2
1.60679,0.0242096,0,0,0,-2
1.60705,0.0239033,0,0,0,-2
1.60708,0.023841,0,0,0,-2
1.60734,0.0232342,0,0,0,-2
1.60762,0.0238175,0,0,0,-2
1.60788,0.0254553,0,0,0,-2
1.60791,0.0256585,0,0,0,-2
1.60817,0.026723,0,0,0,-2
1.6082,0.0268266,0,0,0,-2
1.60846,0.0272973,0,0,0,-2
